t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,M,B,K
0.0,0.5235987755982988,2.0943951023931953,0.0,0.0,2.7755575615628914e-14,3.791482138760901e-14,5.551115123125783e-17,0.25000000000000006,0.0,0.0,3.9746767368495e-17,0.0,5.0,350.0,2000.0
0.001,0.5235987757997443,2.0943951020620886,6.038219888075958e-07,-9.908625721699594e-07,-6.819283730363098e-07,4.33474540058055e-06,-8.972961262898593e-12,0.25000000007168677,-2.7097675696124046e-08,2.1452803976811643e-07,1.2278109567741644e-13,0.0,5.0,350.0,2000.0
0.002,0.5235987771188053,2.0943951003834225,2.2339865005716793e-06,-2.6911974486990197e-06,-5.616876105732908e-06,9.994191133759559e-06,-1.2890497003148482e-10,0.2500000004351286,-2.2209694474253702e-07,5.826613388407437e-07,3.705423717283689e-05,0.0,5.0,350.0,2000.0
0.003,0.5235987804511787,2.0943950969139338,4.629707194515239e-06,-4.571231251573475e-06,-1.4914728557253995e-05,1.4479022619585737e-05,-5.283122272992102e-10,0.25000000118629495,-5.860228970543931e-07,9.897005948051428e-07,9.04950992655071e-05,0.0,5.0,350.0,2000.0
0.004,0.5235987864709098,2.0943950913833436,7.608016059056885e-06,-6.811371097108795e-06,-2.693552683975057e-05,1.947623108474663e-05,-1.3419212963050597e-09,0.2500000023837028,-1.0505826455584812e-06,1.474705090848616e-06,0.0001481235416823834,0.0,5.0,350.0,2000.0
0.005,0.5235987956826941,2.0943950835534406,1.1013388445367885e-05,-9.16905719208927e-06,-4.151344012570701e-05,2.394965040866012e-05,-2.666129511608162e-09,0.25000000407892653,-1.607215009724424e-06,1.9851590863388328e-06,0.00021455195816504524,0.0,5.0,350.0,2000.0
0.006,0.523598808457327,2.094395073276845,1.473334934046259e-05,-1.1703738392944512e-05,-5.779686038842018e-05,2.8612932441226807e-05,-4.575213374824472e-09,0.25000000630387464,-2.2203701383584684e-06,2.5339336299515e-06,0.00028423463569646657,0.0,5.0,350.0,2000.0
0.007,0.5235988250629214,2.0943950604337687,1.867508639641239e-05,-1.4301588591457916e-05,-7.558744463066953e-05,3.303818185059086e-05,-7.12122752433153e-09,0.2500000090844822,-2.881073218063322e-06,3.0963846390965537e-06,0.0003587583753306828,0.0,5.0,350.0,2000.0
0.008,0.5235988456870236,2.0943950449532567,2.2770188227816845e-05,-1.6978143416982526e-05,-9.442808184193458e-05,3.752870305421497e-05,-1.0342189410428304e-08,0.2500000124361112,-3.570279459499356e-06,3.6758756684011134e-06,0.00043553340821149823,0.0,5.0,350.0,2000.0
0.009000000000000001,0.5235988704553591,2.0943950267841047,2.6963451640551027e-05,-1.9678690845207572e-05,-0.0001141572427394954,4.190894980822808e-05,-1.4263129677338782e-08,0.2500000163698477,-4.2810270778815665e-06,4.260561209056153e-06,0.0005150147587422617,0.0,5.0,350.0,2000.0
