steps,mean_reward,std_reward
1000000,8269.624506015145,907.2130405649435
2000000,-648.777546716069,3014.529237643658
3000000,11426.662483383468,4617.426028575318
4000000,248149.64562010378,33404.95556216952
5000000,292976.2122365203,24506.723549425682
6000000,294585.0814160011,14775.192057455854
7000000,294358.81361203274,11936.824402257203
8000000,294857.7037031832,12636.627616945658
9000000,292895.9483705714,10625.595250495053
10000000,292314.7721279614,9255.022439914808
11000000,289034.4490079618,9691.438653789457
12000000,288274.20515712094,10370.196853121952
13000000,288693.9608417273,10555.836992830564
14000000,289993.91812483495,9948.957013508687
15000000,287294.04468719,11614.892745388564
16000000,286753.9155445326,12389.3437217526
17000000,287713.8595764163,11536.908866030071
18000000,288033.812800936,11429.68631165574
19000000,288013.8175106094,11455.488985171005
20000000,287593.8998567528,11574.257585735779
